Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+007D,},RIGHT CURLY BRACKET,True,True,Symmetrical,0.667
U+007E,~,TILDE,False,False,Symmetrical,0.875
U+00A1,¡,INVERTED EXCLAMATION MARK,False,True,Symmetrical,0.727
U+00A2,¢,CENT SIGN,True,False,Right-Pointing,0.72
U+00A3,£,POUND SIGN,True,False,Right-Pointing,0.444
U+00A4,¤,CURRENCY SIGN,False,False,Symmetrical,0.684
U+00A5,¥,YEN SIGN,True,False,Symmetrical,0.0
U+00A6,¦,BROKEN BAR,True,True,Symmetrical,0.0
U+00A7,§,SECTION SIGN,True,False,Symmetrical,0.935
U+00A8,¨,DIAERESIS,True,False,Symmetrical,1.0
U+00A9,©,COPYRIGHT SIGN,True,False,Symmetrical,0.958
U+00AA,ª,FEMININE ORDINAL INDICATOR,True,False,Left-Pointing,0.731
U+00AB,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,False,False,Symmetrical,0.0
U+00AC,¬,NOT SIGN,False,False,Left-Pointing,0.0
U+00AE,®,REGISTERED SIGN,True,False,Symmetrical,0.812
U+00AF,¯,MACRON,True,False,Symmetrical,0.0
U+00B0,°,DEGREE SIGN,True,False,Symmetrical,1.0
U+00B1,±,PLUS-MINUS SIGN,True,False,Symmetrical,0.0
U+00B2,²,SUPERSCRIPT TWO,True,False,Symmetrical,0.684
U+00B3,³,SUPERSCRIPT THREE,True,False,Left-Pointing,0.793
U+00B4,´,ACUTE ACCENT,True,False,Symmetrical,0.667
U+00B5,µ,MICRO SIGN,False,True,Right-Pointing,0.45
U+00B6,¶,PILCROW SIGN,True,True,Symmetrical,0.533
U+00B7,·,MIDDLE DOT,False,False,Symmetrical,1.0
U+00B8,¸,CEDILLA,False,True,Left-Pointing,0.733
U+00B9,¹,SUPERSCRIPT ONE,True,False,Left-Pointing,0.4
U+00BA,º,MASCULINE ORDINAL INDICATOR,True,False,Symmetrical,1.0
U+00BB,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,False,False,Symmetrical,0.0
U+00BC,¼,VULGAR FRACTION ONE QUARTER,True,False,Symmetrical,0.276
U+00BD,½,VULGAR FRACTION ONE HALF,True,False,Symmetrical,0.531
U+00BE,¾,VULGAR FRACTION THREE QUARTERS,True,False,Symmetrical,0.562
U+00BF,¿,INVERTED QUESTION MARK,False,True,Right-Pointing,0.903
U+00C0,À,LATIN CAPITAL LETTER A WITH GRAVE,True,False,Symmetrical,0.478
U+00C1,Á,LATIN CAPITAL LETTER A WITH ACUTE,True,False,Symmetrical,0.478
U+00C2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,True,False,Symmetrical,0.536
U+00C3,Ã,LATIN CAPITAL LETTER A WITH TILDE,True,False,Symmetrical,0.655
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,True,False,Symmetrical,0.7
U+00C5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,True,False,Symmetrical,0.7
U+00C6,Æ,LATIN CAPITAL LETTER AE,True,False,Symmetrical,0.0
U+00C7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,True,True,Right-Pointing,0.824
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE,True,False,Right-Pointing,0.3
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE,True,False,Right-Pointing,0.3
U+00CA,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,True,False,Right-Pointing,0.4
U+00CB,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,True,False,Right-Pointing,0.593
U+00CC,Ì,LATIN CAPITAL LETTER I WITH GRAVE,True,False,Symmetrical,0.3
U+00CD,Í,LATIN CAPITAL LETTER I WITH ACUTE,True,False,Symmetrical,0.3
U+00CE,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,True,False,Symmetrical,0.4
U+00CF,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,True,False,Symmetrical,0.593
U+00D0,Ð,LATIN CAPITAL LETTER ETH,True,False,Symmetrical,0.381
U+00D1,Ñ,LATIN CAPITAL LETTER N WITH TILDE,True,False,Symmetrical,0.613
U+00D2,Ò,LATIN CAPITAL LETTER O WITH GRAVE,True,False,Symmetrical,0.897
U+00D3,Ó,LATIN CAPITAL LETTER O WITH ACUTE,True,False,Symmetrical,0.897
U+00D4,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,True,False,Symmetrical,0.882
