Unicode,Char,Name,Ascender,Descender,Symmetry,Bouba_Score
U+017C,ż,LATIN SMALL LETTER Z WITH DOT ABOVE,True,False,Symmetrical,0.471
U+017D,Ž,LATIN CAPITAL LETTER Z WITH CARON,True,False,Symmetrical,0.435
U+017E,ž,LATIN SMALL LETTER Z WITH CARON,True,False,Symmetrical,0.435
U+017F,ſ,LATIN SMALL LETTER LONG S,True,False,Right-Pointing,0.667
U+0180,ƀ,LATIN SMALL LETTER B WITH STROKE,True,False,Symmetrical,0.515
U+0181,Ɓ,LATIN CAPITAL LETTER B WITH HOOK,True,False,Symmetrical,0.735
U+0182,Ƃ,LATIN CAPITAL LETTER B WITH TOPBAR,True,False,Right-Pointing,0.529
U+0183,ƃ,LATIN SMALL LETTER B WITH TOPBAR,True,False,Right-Pointing,0.63
U+0184,Ƅ,LATIN CAPITAL LETTER TONE SIX,True,False,Right-Pointing,0.7
U+0185,ƅ,LATIN SMALL LETTER TONE SIX,True,False,Right-Pointing,0.773
U+0186,Ɔ,LATIN CAPITAL LETTER OPEN O,True,False,Left-Pointing,0.9
U+0187,Ƈ,LATIN CAPITAL LETTER C WITH HOOK,True,False,Right-Pointing,0.828
U+0188,ƈ,LATIN SMALL LETTER C WITH HOOK,True,False,Right-Pointing,0.828
U+0189,Ɖ,LATIN CAPITAL LETTER AFRICAN D,True,False,Symmetrical,0.381
U+018A,Ɗ,LATIN CAPITAL LETTER D WITH HOOK,True,False,Symmetrical,0.727
U+018B,Ƌ,LATIN CAPITAL LETTER D WITH TOPBAR,True,False,Left-Pointing,0.5
U+018C,ƌ,LATIN SMALL LETTER D WITH TOPBAR,True,False,Left-Pointing,0.643
U+018D,ƍ,LATIN SMALL LETTER TURNED DELTA,False,True,Symmetrical,0.971
U+018E,Ǝ,LATIN CAPITAL LETTER REVERSED E,True,False,Left-Pointing,0.0
U+018F,Ə,LATIN CAPITAL LETTER SCHWA,True,False,Symmetrical,0.833
U+0190,Ɛ,LATIN CAPITAL LETTER OPEN E,True,False,Right-Pointing,0.806
U+0191,Ƒ,LATIN CAPITAL LETTER F WITH HOOK,True,True,Symmetrical,0.5
U+0192,ƒ,LATIN SMALL LETTER F WITH HOOK,True,True,Symmetrical,0.625
U+0193,Ɠ,LATIN CAPITAL LETTER G WITH HOOK,True,False,Symmetrical,0.735
U+0194,Ɣ,LATIN CAPITAL LETTER GAMMA,True,True,Symmetrical,0.76
U+0195,ƕ,LATIN SMALL LETTER HV,True,False,Right-Pointing,0.593
U+0196,Ɩ,LATIN CAPITAL LETTER IOTA,True,False,Right-Pointing,0.692
U+0197,Ɨ,LATIN CAPITAL LETTER I WITH STROKE,True,False,Symmetrical,0.0
U+0198,Ƙ,LATIN CAPITAL LETTER K WITH HOOK,True,False,Right-Pointing,0.478
U+0199,ƙ,LATIN SMALL LETTER K WITH HOOK,True,False,Right-Pointing,0.48
U+019A,ƚ,LATIN SMALL LETTER L WITH BAR,True,False,Symmetrical,0.0
U+019B,ƛ,LATIN SMALL LETTER LAMBDA WITH STROKE,True,False,Symmetrical,0.588
U+019C,Ɯ,LATIN CAPITAL LETTER TURNED M,True,False,Symmetrical,0.536
U+019D,Ɲ,LATIN CAPITAL LETTER N WITH LEFT HOOK,True,True,Symmetrical,0.52
U+019E,ƞ,LATIN SMALL LETTER N WITH LONG RIGHT LEG,False,True,Left-Pointing,0.471
U+019F,Ɵ,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,True,False,Symmetrical,0.909
U+01A0,Ơ,LATIN CAPITAL LETTER O WITH HORN,True,False,Symmetrical,0.923
U+01A1,ơ,LATIN SMALL LETTER O WITH HORN,True,False,Symmetrical,0.92
U+01A2,Ƣ,LATIN CAPITAL LETTER OI,True,False,Symmetrical,0.9
U+01A3,ƣ,LATIN SMALL LETTER OI,False,True,Left-Pointing,0.885
U+01A4,Ƥ,LATIN CAPITAL LETTER P WITH HOOK,True,False,Symmetrical,0.68
U+01A5,ƥ,LATIN SMALL LETTER P WITH HOOK,True,True,Right-Pointing,0.778
U+01A6,Ʀ,LATIN LETTER YR,True,True,Right-Pointing,0.45
U+01A7,Ƨ,LATIN CAPITAL LETTER TONE TWO,True,False,Symmetrical,0.933
U+01A8,ƨ,LATIN SMALL LETTER TONE TWO,False,False,Symmetrical,0.931
U+01A9,Ʃ,LATIN CAPITAL LETTER ESH,True,False,Right-Pointing,0.312
U+01AA,ƪ,LATIN LETTER REVERSED ESH LOOP,True,True,Symmetrical,0.786
U+01AB,ƫ,LATIN SMALL LETTER T WITH PALATAL HOOK,True,True,Symmetrical,0.464
U+01AC,Ƭ,LATIN CAPITAL LETTER T WITH HOOK,True,False,Symmetrical,0.5
U+01AD,ƭ,LATIN SMALL LETTER T WITH HOOK,True,False,Symmetrical,0.571
U+01AE,Ʈ,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK,True,True,Symmetrical,0.5
U+01AF,Ư,LATIN CAPITAL LETTER U WITH HORN,True,False,Right-Pointing,0.652
U+01B0,ư,LATIN SMALL LETTER U WITH HORN,True,False,Right-Pointing,0.522
U+01B1,Ʊ,LATIN CAPITAL LETTER UPSILON,True,False,Symmetrical,0.692
U+01B2,Ʋ,LATIN CAPITAL LETTER V WITH HOOK,True,False,Symmetrical,0.727
U+01B3,Ƴ,LATIN CAPITAL LETTER Y WITH HOOK,True,False,Symmetrical,0.429
U+01B4,ƴ,LATIN SMALL LETTER Y WITH HOOK,False,True,Right-Pointing,0.69
U+01B5,Ƶ,LATIN CAPITAL LETTER Z WITH STROKE,True,False,Symmetrical,0.0
U+01B6,ƶ,LATIN SMALL LETTER Z WITH STROKE,False,False,Symmetrical,0.0
U+01B7,Ʒ,LATIN CAPITAL LETTER EZH,True,False,Left-Pointing,0.6
U+01B8,Ƹ,LATIN CAPITAL LETTER EZH REVERSED,True,False,Right-Pointing,0.625
U+01B9,ƹ,LATIN SMALL LETTER EZH REVERSED,False,True,Right-Pointing,0.609
U+01BA,ƺ,LATIN SMALL LETTER EZH WITH TAIL,False,True,Symmetrical,0.71
U+01BB,ƻ,LATIN LETTER TWO WITH STROKE,True,False,Symmetrical,0.462
U+01BC,Ƽ,LATIN CAPITAL LETTER TONE FIVE,True,False,Symmetrical,0.6
U+01BD,ƽ,LATIN SMALL LETTER TONE FIVE,False,False,Symmetrical,0.583
U+01BE,ƾ,LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE,True,False,Symmetrical,0.571
U+01BF,ƿ,LATIN LETTER WYNN,False,True,Right-Pointing,0.667
U+01C0,ǀ,LATIN LETTER DENTAL CLICK,True,False,Symmetrical,0.0
U+01C1,ǁ,LATIN LETTER LATERAL CLICK,True,False,Symmetrical,0.0
U+01C2,ǂ,LATIN LETTER ALVEOLAR CLICK,True,False,Symmetrical,0.0
U+01C3,ǃ,LATIN LETTER RETROFLEX CLICK,True,False,Symmetrical,0.727
U+01C4,Ǆ,LATIN CAPITAL LETTER DZ WITH CARON,True,False,Symmetrical,0.486
U+01C5,ǅ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON,True,False,Symmetrical,0.486
U+01C6,ǆ,LATIN SMALL LETTER DZ WITH CARON,True,False,Symmetrical,0.571
U+01C7,Ǉ,LATIN CAPITAL LETTER LJ,True,True,Symmetrical,0.5
U+01C8,ǈ,LATIN CAPITAL LETTER L WITH SMALL LETTER J,True,True,Symmetrical,0.64
U+01C9,ǉ,LATIN SMALL LETTER LJ,True,True,Symmetrical,0.696
U+01CA,Ǌ,LATIN CAPITAL LETTER NJ,True,True,Symmetrical,0.483
U+01CB,ǋ,LATIN CAPITAL LETTER N WITH SMALL LETTER J,True,True,Symmetrical,0.583
U+01CC,ǌ,LATIN SMALL LETTER NJ,True,True,Left-Pointing,0.639
U+01CD,Ǎ,LATIN CAPITAL LETTER A WITH CARON,True,False,Symmetrical,0.536
U+01CE,ǎ,LATIN SMALL LETTER A WITH CARON,True,False,Left-Pointing,0.714
U+01CF,Ǐ,LATIN CAPITAL LETTER I WITH CARON,True,False,Symmetrical,0.4
U+01D0,ǐ,LATIN SMALL LETTER I WITH CARON,True,False,Symmetrical,0.588
U+01D1,Ǒ,LATIN CAPITAL LETTER O WITH CARON,True,False,Symmetrical,0.882
U+01D2,ǒ,LATIN SMALL LETTER O WITH CARON,True,False,Symmetrical,0.875
U+01D3,Ǔ,LATIN CAPITAL LETTER U WITH CARON,True,False,Symmetrical,0.679
U+01D4,ǔ,LATIN SMALL LETTER U WITH CARON,True,False,Symmetrical,0.586
U+01D5,Ǖ,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON,True,False,Symmetrical,0.758
U+01D6,ǖ,LATIN SMALL LETTER U WITH DIAERESIS AND MACRON,True,False,Symmetrical,0.676
U+01D7,Ǘ,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE,True,False,Symmetrical,0.789
U+01D8,ǘ,LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE,True,False,Symmetrical,0.718
U+01D9,Ǚ,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON,True,False,Symmetrical,0.795
U+01DA,ǚ,LATIN SMALL LETTER U WITH DIAERESIS AND CARON,True,False,Symmetrical,0.733
U+01DB,Ǜ,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE,True,False,Symmetrical,0.789
U+01DC,ǜ,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE,True,False,Symmetrical,0.718
U+01DD,ǝ,LATIN SMALL LETTER TURNED E,False,False,Symmetrical,0.864
U+01DE,Ǟ,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON,True,False,Symmetrical,0.636
U+01DF,ǟ,LATIN SMALL LETTER A WITH DIAERESIS AND MACRON,True,False,Left-Pointing,0.766
U+01E0,Ǡ,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON,True,False,Symmetrical,0.52
U+01E1,ǡ,LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON,True,False,Left-Pointing,0.718
U+01E2,Ǣ,LATIN CAPITAL LETTER AE WITH MACRON,True,False,Left-Pointing,0.0
U+01E3,ǣ,LATIN SMALL LETTER AE WITH MACRON,True,False,Symmetrical,0.766
U+01E4,Ǥ,LATIN CAPITAL LETTER G WITH STROKE,True,False,Symmetrical,0.576
U+01E5,ǥ,LATIN SMALL LETTER G WITH STROKE,False,True,Symmetrical,0.622
U+01E6,Ǧ,LATIN CAPITAL LETTER G WITH CARON,True,False,Symmetrical,0.763
U+01E7,ǧ,LATIN SMALL LETTER G WITH CARON,True,True,Left-Pointing,0.733
U+01E8,Ǩ,LATIN CAPITAL LETTER K WITH CARON,True,False,Right-Pointing,0.444
U+01E9,ǩ,LATIN SMALL LETTER K WITH CARON,True,False,Right-Pointing,0.484
U+01EA,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK,True,True,Symmetrical,0.941
U+01EB,ǫ,LATIN SMALL LETTER O WITH OGONEK,False,True,Symmetrical,0.938
U+01EC,Ǭ,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,True,True,Symmetrical,0.865
U+01ED,ǭ,LATIN SMALL LETTER O WITH OGONEK AND MACRON,True,True,Symmetrical,0.857
U+01EE,Ǯ,LATIN CAPITAL LETTER EZH WITH CARON,True,False,Left-Pointing,0.647
U+01EF,ǯ,LATIN SMALL LETTER EZH WITH CARON,True,True,Left-Pointing,0.667
U+01F0,ǰ,LATIN SMALL LETTER J WITH CARON,True,True,Symmetrical,0.692
U+01F1,Ǳ,LATIN CAPITAL LETTER DZ,True,False,Symmetrical,0.348
U+01F2,ǲ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z,True,False,Right-Pointing,0.348
U+01F3,ǳ,LATIN SMALL LETTER DZ,True,False,Symmetrical,0.514
U+01F4,Ǵ,LATIN CAPITAL LETTER G WITH ACUTE,True,False,Symmetrical,0.758
U+01F5,ǵ,LATIN SMALL LETTER G WITH ACUTE,True,True,Left-Pointing,0.725
U+01F6,Ƕ,LATIN CAPITAL LETTER HWAIR,True,False,Symmetrical,0.381
U+01F7,Ƿ,LATIN CAPITAL LETTER WYNN,True,True,Right-Pointing,0.696
U+01F8,Ǹ,LATIN CAPITAL LETTER N WITH GRAVE,True,False,Symmetrical,0.44
U+01F9,ǹ,LATIN SMALL LETTER N WITH GRAVE,True,False,Symmetrical,0.52
U+01FA,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,True,False,Symmetrical,0.686
U+01FB,ǻ,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,True,False,Left-Pointing,0.788
U+01FC,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE,True,False,Left-Pointing,0.222
U+01FD,ǽ,LATIN SMALL LETTER AE WITH ACUTE,True,False,Symmetrical,0.792
U+01FE,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,True,False,Symmetrical,0.718
U+01FF,ǿ,LATIN SMALL LETTER O WITH STROKE AND ACUTE,True,False,Symmetrical,0.694
U+0200,Ȁ,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,True,False,Symmetrical,0.5
U+0201,ȁ,LATIN SMALL LETTER A WITH DOUBLE GRAVE,True,False,Symmetrical,0.682
U+0202,Ȃ,LATIN CAPITAL LETTER A WITH INVERTED BREVE,True,False,Symmetrical,0.542
U+0203,ȃ,LATIN SMALL LETTER A WITH INVERTED BREVE,True,False,Left-Pointing,0.737
U+0204,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,True,False,Right-Pointing,0.37
U+0205,ȅ,LATIN SMALL LETTER E WITH DOUBLE GRAVE,True,False,Symmetrical,0.744
U+0206,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE,True,False,Right-Pointing,0.381
U+0207,ȇ,LATIN SMALL LETTER E WITH INVERTED BREVE,True,False,Symmetrical,0.818
U+0208,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,True,False,Left-Pointing,0.37
U+0209,ȉ,LATIN SMALL LETTER I WITH DOUBLE GRAVE,True,False,Left-Pointing,0.526
U+020A,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE,True,False,Symmetrical,0.381
U+020B,ȋ,LATIN SMALL LETTER I WITH INVERTED BREVE,True,False,Symmetrical,0.615
U+020C,Ȍ,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,True,False,Symmetrical,0.833
U+020D,ȍ,LATIN SMALL LETTER O WITH DOUBLE GRAVE,True,False,Symmetrical,0.824
U+020E,Ȏ,LATIN CAPITAL LETTER O WITH INVERTED BREVE,True,False,Symmetrical,0.933
U+020F,ȏ,LATIN SMALL LETTER O WITH INVERTED BREVE,True,False,Symmetrical,0.929
U+0210,Ȑ,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,True,False,Right-Pointing,0.543
U+0211,ȑ,LATIN SMALL LETTER R WITH DOUBLE GRAVE,True,False,Right-Pointing,0.594
U+0212,Ȓ,LATIN CAPITAL LETTER R WITH INVERTED BREVE,True,False,Right-Pointing,0.586
U+0213,ȓ,LATIN SMALL LETTER R WITH INVERTED BREVE,True,False,Right-Pointing,0.654
U+0214,Ȕ,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,True,False,Symmetrical,0.633
U+0215,ȕ,LATIN SMALL LETTER U WITH DOUBLE GRAVE,True,False,Symmetrical,0.548
U+0216,Ȗ,LATIN CAPITAL LETTER U WITH INVERTED BREVE,True,False,Symmetrical,0.708
U+0217,ȗ,LATIN SMALL LETTER U WITH INVERTED BREVE,True,False,Symmetrical,0.6
U+0218,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW,True,True,Symmetrical,0.872
U+0219,ș,LATIN SMALL LETTER S WITH COMMA BELOW,False,True,Symmetrical,0.872
U+021A,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW,True,True,Symmetrical,0.375
U+021B,ț,LATIN SMALL LETTER T WITH COMMA BELOW,True,True,Symmetrical,0.5
U+021C,Ȝ,LATIN CAPITAL LETTER YOGH,True,True,Left-Pointing,0.933
U+021D,ȝ,LATIN SMALL LETTER YOGH,False,True,Left-Pointing,0.926
U+021E,Ȟ,LATIN CAPITAL LETTER H WITH CARON,True,False,Symmetrical,0.4
U+021F,ȟ,LATIN SMALL LETTER H WITH CARON,True,False,Symmetrical,0.6
U+0220,Ƞ,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,True,True,Symmetrical,0.5
U+0221,ȡ,LATIN SMALL LETTER D WITH CURL,True,True,Symmetrical,0.87
U+0222,Ȣ,LATIN CAPITAL LETTER OU,True,False,Symmetrical,0.812
U+0223,ȣ,LATIN SMALL LETTER OU,True,False,Symmetrical,0.806
U+0224,Ȥ,LATIN CAPITAL LETTER Z WITH HOOK,True,True,Symmetrical,0.368
U+0225,ȥ,LATIN SMALL LETTER Z WITH HOOK,False,True,Left-Pointing,0.389
U+0226,Ȧ,LATIN CAPITAL LETTER A WITH DOT ABOVE,True,False,Symmetrical,0.591
U+0227,ȧ,LATIN SMALL LETTER A WITH DOT ABOVE,True,False,Left-Pointing,0.778
U+0228,Ȩ,LATIN CAPITAL LETTER E WITH CEDILLA,True,True,Right-Pointing,0.423
U+0229,ȩ,LATIN SMALL LETTER E WITH CEDILLA,False,True,Symmetrical,0.789
U+022A,Ȫ,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,True,False,Symmetrical,0.923
U+022B,ȫ,LATIN SMALL LETTER O WITH DIAERESIS AND MACRON,True,False,Symmetrical,0.919
U+022C,Ȭ,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,True,False,Symmetrical,0.895
U+022D,ȭ,LATIN SMALL LETTER O WITH TILDE AND MACRON,True,False,Symmetrical,0.889
U+022E,Ȯ,LATIN CAPITAL LETTER O WITH DOT ABOVE,True,False,Symmetrical,1.0
U+022F,ȯ,LATIN SMALL LETTER O WITH DOT ABOVE,True,False,Symmetrical,1.0
U+0230,Ȱ,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,True,False,Symmetrical,0.903
U+0231,ȱ,LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON,True,False,Symmetrical,0.897
U+0232,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON,True,False,Symmetrical,0.0
U+0233,ȳ,LATIN SMALL LETTER Y WITH MACRON,True,True,Symmetrical,0.522
U+0234,ȴ,LATIN SMALL LETTER L WITH CURL,True,False,Right-Pointing,0.85
U+0235,ȵ,LATIN SMALL LETTER N WITH CURL,False,False,Symmetrical,0.75
U+0236,ȶ,LATIN SMALL LETTER T WITH CURL,True,False,Symmetrical,0.607
U+0237,ȷ,LATIN SMALL LETTER DOTLESS J,False,True,Left-Pointing,0.667
U+0238,ȸ,LATIN SMALL LETTER DB DIGRAPH,True,False,Symmetrical,0.872
U+0239,ȹ,LATIN SMALL LETTER QP DIGRAPH,False,True,Symmetrical,0.872
U+023A,Ⱥ,LATIN CAPITAL LETTER A WITH STROKE,True,True,Symmetrical,0.208
U+023B,Ȼ,LATIN CAPITAL LETTER C WITH STROKE,True,True,Right-Pointing,0.69
U+023C,ȼ,LATIN SMALL LETTER C WITH STROKE,True,True,Right-Pointing,0.607
U+023D,Ƚ,LATIN CAPITAL LETTER L WITH BAR,True,False,Right-Pointing,0.0
U+023E,Ⱦ,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,True,True,Symmetrical,0.0
U+023F,ȿ,LATIN SMALL LETTER S WITH SWASH TAIL,False,True,Symmetrical,0.929
U+0240,ɀ,LATIN SMALL LETTER Z WITH SWASH TAIL,False,True,Symmetrical,0.591
U+0241,Ɂ,LATIN CAPITAL LETTER GLOTTAL STOP,True,False,Left-Pointing,0.75
U+0242,ɂ,LATIN SMALL LETTER GLOTTAL STOP,False,False,Left-Pointing,0.75
U+0243,Ƀ,LATIN CAPITAL LETTER B WITH STROKE,True,False,Symmetrical,0.531
U+0244,Ʉ,LATIN CAPITAL LETTER U BAR,True,False,Symmetrical,0.36
U+0245,Ʌ,LATIN CAPITAL LETTER TURNED V,True,False,Symmetrical,0.4
U+0246,Ɇ,LATIN CAPITAL LETTER E WITH STROKE,True,True,Right-Pointing,0.0
U+0247,ɇ,LATIN SMALL LETTER E WITH STROKE,True,True,Symmetrical,0.588
U+0248,Ɉ,LATIN CAPITAL LETTER J WITH STROKE,True,True,Left-Pointing,0.429
U+0249,ɉ,LATIN SMALL LETTER J WITH STROKE,True,True,Left-Pointing,0.571
U+024A,Ɋ,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL,True,True,Symmetrical,0.789
U+024B,ɋ,LATIN SMALL LETTER Q WITH HOOK TAIL,False,True,Symmetrical,0.771
U+024C,Ɍ,LATIN CAPITAL LETTER R WITH STROKE,True,False,Symmetrical,0.391
U+024D,ɍ,LATIN SMALL LETTER R WITH STROKE,False,False,Right-Pointing,0.381
U+024E,Ɏ,LATIN CAPITAL LETTER Y WITH STROKE,True,False,Symmetrical,0.0
U+024F,ɏ,LATIN SMALL LETTER Y WITH STROKE,False,True,Symmetrical,0.375
U+0250,ɐ,LATIN SMALL LETTER TURNED A,False,False,Right-Pointing,0.714
U+0251,ɑ,LATIN SMALL LETTER ALPHA,False,False,Symmetrical,0.774
U+0252,ɒ,LATIN SMALL LETTER TURNED ALPHA,False,False,Symmetrical,0.774
U+0253,ɓ,LATIN SMALL LETTER B WITH HOOK,True,False,Right-Pointing,0.774
U+0254,ɔ,LATIN SMALL LETTER OPEN O,False,False,Left-Pointing,0.9
U+0255,ɕ,LATIN SMALL LETTER C WITH CURL,False,False,Right-Pointing,0.938
U+0256,ɖ,LATIN SMALL LETTER D WITH TAIL,True,True,Symmetrical,0.784
U+0257,ɗ,LATIN SMALL LETTER D WITH HOOK,True,False,Symmetrical,0.758
U+0258,ɘ,LATIN SMALL LETTER REVERSED E,False,False,Symmetrical,0.826
U+0259,ə,LATIN SMALL LETTER SCHWA,False,False,Symmetrical,0.864
U+025A,ɚ,LATIN SMALL LETTER SCHWA WITH HOOK,False,False,Right-Pointing,0.788
U+025B,ɛ,LATIN SMALL LETTER OPEN E,False,False,Right-Pointing,0.821
U+025C,ɜ,LATIN SMALL LETTER REVERSED OPEN E,False,False,Left-Pointing,0.793
U+025D,ɝ,LATIN SMALL LETTER REVERSED OPEN E WITH HOOK,False,False,Right-Pointing,0.756
U+025E,ɞ,LATIN SMALL LETTER CLOSED REVERSED OPEN E,False,False,Symmetrical,0.867
U+025F,ɟ,LATIN SMALL LETTER DOTLESS J WITH STROKE,False,True,Left-Pointing,0.4
U+0260,ɠ,LATIN SMALL LETTER G WITH HOOK,True,True,Symmetrical,0.805
U+0261,ɡ,LATIN SMALL LETTER SCRIPT G,False,True,Left-Pointing,0.742
U+0262,ɢ,LATIN LETTER SMALL CAPITAL G,False,False,Symmetrical,0.727
U+0263,ɣ,LATIN SMALL LETTER GAMMA,False,True,Symmetrical,0.75
U+0264,ɤ,LATIN SMALL LETTER RAMS HORN,False,False,Symmetrical,0.837
U+0265,ɥ,LATIN SMALL LETTER TURNED H,False,True,Left-Pointing,0.5
U+0266,ɦ,LATIN SMALL LETTER H WITH HOOK,True,False,Right-Pointing,0.652
U+0267,ɧ,LATIN SMALL LETTER HENG WITH HOOK,True,True,Symmetrical,0.71
U+0268,ɨ,LATIN SMALL LETTER I WITH STROKE,True,False,Symmetrical,0.421
U+0269,ɩ,LATIN SMALL LETTER IOTA,False,False,Right-Pointing,0.75
U+026A,ɪ,LATIN LETTER SMALL CAPITAL I,False,False,Symmetrical,0.0
U+026B,ɫ,LATIN SMALL LETTER L WITH MIDDLE TILDE,True,False,Symmetrical,0.667
U+026C,ɬ,LATIN SMALL LETTER L WITH BELT,True,False,Symmetrical,0.542
U+026D,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK,True,True,Right-Pointing,0.692
U+026E,ɮ,LATIN SMALL LETTER LEZH,True,True,Right-Pointing,0.5
U+026F,ɯ,LATIN SMALL LETTER TURNED M,False,False,Symmetrical,0.5
U+0270,ɰ,LATIN SMALL LETTER TURNED M WITH LONG LEG,False,True,Left-Pointing,0.556
U+0271,ɱ,LATIN SMALL LETTER M WITH HOOK,False,True,Symmetrical,0.606
U+0272,ɲ,LATIN SMALL LETTER N WITH LEFT HOOK,False,True,Symmetrical,0.64
U+0273,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK,False,True,Symmetrical,0.667
U+0274,ɴ,LATIN LETTER SMALL CAPITAL N,False,False,Symmetrical,0.4
U+0275,ɵ,LATIN SMALL LETTER BARRED O,False,False,Symmetrical,0.9
U+0276,ɶ,LATIN LETTER SMALL CAPITAL OE,False,False,Symmetrical,0.552
U+0277,ɷ,LATIN SMALL LETTER CLOSED OMEGA,False,False,Symmetrical,0.857
U+0278,ɸ,LATIN SMALL LETTER PHI,True,True,Symmetrical,0.783
U+0279,ɹ,LATIN SMALL LETTER TURNED R,False,False,Left-Pointing,0.562
U+027A,ɺ,LATIN SMALL LETTER TURNED R WITH LONG LEG,True,False,Left-Pointing,0.562
U+027B,ɻ,LATIN SMALL LETTER TURNED R WITH HOOK,False,True,Left-Pointing,0.741
U+027C,ɼ,LATIN SMALL LETTER R WITH LONG LEG,False,True,Right-Pointing,0.562
U+027D,ɽ,LATIN SMALL LETTER R WITH TAIL,False,True,Right-Pointing,0.72
U+027E,ɾ,LATIN SMALL LETTER R WITH FISHHOOK,False,False,Right-Pointing,0.692
U+027F,ɿ,LATIN SMALL LETTER REVERSED R WITH FISHHOOK,False,True,Left-Pointing,0.692
U+0280,ʀ,LATIN LETTER SMALL CAPITAL R,False,False,Right-Pointing,0.5
U+0281,ʁ,LATIN LETTER SMALL CAPITAL INVERTED R,False,False,Right-Pointing,0.5
U+0282,ʂ,LATIN SMALL LETTER S WITH HOOK,False,True,Right-Pointing,0.9
U+0283,ʃ,LATIN SMALL LETTER ESH,True,True,Symmetrical,0.818
U+0284,ʄ,LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK,True,True,Symmetrical,0.6
U+0285,ʅ,LATIN SMALL LETTER SQUAT REVERSED ESH,False,True,Symmetrical,0.818
U+0286,ʆ,LATIN SMALL LETTER ESH WITH CURL,True,True,Symmetrical,0.71
U+0287,ʇ,LATIN SMALL LETTER TURNED T,False,True,Symmetrical,0.429
U+0288,ʈ,LATIN SMALL LETTER T WITH RETROFLEX HOOK,True,True,Right-Pointing,0.429
U+0289,ʉ,LATIN SMALL LETTER U BAR,False,False,Symmetrical,0.28
U+028A,ʊ,LATIN SMALL LETTER UPSILON,False,False,Symmetrical,0.68
U+028B,ʋ,LATIN SMALL LETTER V WITH HOOK,False,False,Symmetrical,0.727
U+028C,ʌ,LATIN SMALL LETTER TURNED V,False,False,Symmetrical,0.462
U+028D,ʍ,LATIN SMALL LETTER TURNED W,False,False,Symmetrical,0.464
U+028E,ʎ,LATIN SMALL LETTER TURNED Y,True,False,Symmetrical,0.6
U+028F,ʏ,LATIN LETTER SMALL CAPITAL Y,False,False,Symmetrical,0.0
U+0290,ʐ,LATIN SMALL LETTER Z WITH RETROFLEX HOOK,False,True,Symmetrical,0.429
U+0291,ʑ,LATIN SMALL LETTER Z WITH CURL,False,True,Symmetrical,0.6
U+0292,ʒ,LATIN SMALL LETTER EZH,False,True,Left-Pointing,0.636
U+0293,ʓ,LATIN SMALL LETTER EZH WITH CURL,False,True,Symmetrical,0.757
U+0294,ʔ,LATIN LETTER GLOTTAL STOP,True,False,Left-Pointing,0.75
U+0295,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE,True,False,Right-Pointing,0.75
U+0296,ʖ,LATIN LETTER INVERTED GLOTTAL STOP,True,False,Left-Pointing,0.75
U+0297,ʗ,LATIN LETTER STRETCHED C,False,True,Right-Pointing,0.909
